run_id,experiment_id,period,trade_count,session_pnl_range,session_pnl_std,symbol,only_session,use_time_filter,use_h1_trend_filter,run_tag,group_key,config_path
b001_2024-01_2024-12_20251216_061228,b001,2024-01..2024-12,640,172.000000,86.000000,USDJPY,,1,1,b001,b001|2024-01..2024-12|,FX/results/b001_2024-01_2024-12_20251216_061228/config.json
b001_2024-01_2024-12_20251216_072858,b001,2024-01..2024-12,304,396.000000,198.000000,USDJPY,,1,1,b001,b001|2024-01..2024-12|,FX/results/b001_2024-01_2024-12_20251216_072858/config.json
b001_2025-01_2025-12_20251216_061244,b001,2025-01..2025-12,540,120.000000,60.000000,USDJPY,,1,1,b001,b001|2025-01..2025-12|,FX/results/b001_2025-01_2025-12_20251216_061244/config.json
b001_2025-01_2025-12_20251216_072914,b001,2025-01..2025-12,273,392.000000,160.169355,USDJPY,,1,1,b001,b001|2025-01..2025-12|,FX/results/b001_2025-01_2025-12_20251216_072914/config.json
b002_sess_W1_2024-01_2024-12_20251216_061259,b002,2024-01..2024-12,399,0.000000,0.000000,USDJPY,W1,1,1,b002,b002|2024-01..2024-12|W1,FX/results/b002_sess_W1_2024-01_2024-12_20251216_061259/config.json
b002_sess_W1_2024-01_2024-12_20251216_072930,b002,2024-01..2024-12,152,0.000000,0.000000,USDJPY,W1,1,1,b002,b002|2024-01..2024-12|W1,FX/results/b002_sess_W1_2024-01_2024-12_20251216_072930/config.json
b002_sess_W1_2025-01_2025-12_20251216_061315,b002,2025-01..2025-12,330,0.000000,0.000000,USDJPY,W1,1,1,b002,b002|2025-01..2025-12|W1,FX/results/b002_sess_W1_2025-01_2025-12_20251216_061315/config.json
b002_sess_W1_2025-01_2025-12_20251216_072946,b002,2025-01..2025-12,146,210.000000,105.000000,USDJPY,W1,1,1,b002,b002|2025-01..2025-12|W1,FX/results/b002_sess_W1_2025-01_2025-12_20251216_072946/config.json
b003_2024-01_2024-12_20251216_061330,b003,2024-01..2024-12,1034,624.000000,312.000000,USDJPY,,1,0,b003,b003|2024-01..2024-12|,FX/results/b003_2024-01_2024-12_20251216_061330/config.json
b003_2024-01_2024-12_20251216_073002,b003,2024-01..2024-12,573,686.000000,288.504188,USDJPY,,1,0,b003,b003|2024-01..2024-12|,FX/results/b003_2024-01_2024-12_20251216_073002/config.json
b003_2025-01_2025-12_20251216_061347,b003,2025-01..2025-12,1033,40.000000,20.000000,USDJPY,,1,0,b003,b003|2025-01..2025-12|,FX/results/b003_2025-01_2025-12_20251216_061347/config.json
b003_2025-01_2025-12_20251216_073019,b003,2025-01..2025-12,582,332.000000,141.471630,USDJPY,,1,0,b003,b003|2025-01..2025-12|,FX/results/b003_2025-01_2025-12_20251216_073019/config.json
b004_2024-01_2024-12_20251216_074521,b004,2024-01..2024-12,344,412.000000,169.590356,USDJPY,,1,1,b004,b004|2024-01..2024-12|,FX/results/b004_2024-01_2024-12_20251216_074521/config.json
b004_2025-01_2025-12_20251216_074538,b004,2025-01..2025-12,303,452.000000,184.934823,USDJPY,,1,1,b004,b004|2025-01..2025-12|,FX/results/b004_2025-01_2025-12_20251216_074538/config.json
b005_2024-01_2024-12_20251216_074558,b005,2024-01..2024-12,720,774.000000,319.837459,USDJPY,,0,1,b005,b005|2024-01..2024-12|,FX/results/b005_2024-01_2024-12_20251216_074558/config.json
b005_2025-01_2025-12_20251216_074610,b005,2025-01..2025-12,586,954.000000,397.345637,USDJPY,,0,1,b005,b005|2025-01..2025-12|,FX/results/b005_2025-01_2025-12_20251216_074610/config.json
c001_2024-01_2024-12_20251216_061402,c001,2024-01..2024-12,640,172.000000,86.000000,USDJPY,,1,1,c001,c001|2024-01..2024-12|,FX/results/c001_2024-01_2024-12_20251216_061402/config.json
c001_2024-01_2024-12_20251216_073037,c001,2024-01..2024-12,670,228.000000,114.000000,USDJPY,,1,1,c001,c001|2024-01..2024-12|,FX/results/c001_2024-01_2024-12_20251216_073037/config.json
c001_2025-01_2025-12_20251216_061418,c001,2025-01..2025-12,540,120.000000,60.000000,USDJPY,,1,1,c001,c001|2025-01..2025-12|,FX/results/c001_2025-01_2025-12_20251216_061418/config.json
c001_2025-01_2025-12_20251216_073056,c001,2025-01..2025-12,550,186.000000,93.000000,USDJPY,,1,1,c001,c001|2025-01..2025-12|,FX/results/c001_2025-01_2025-12_20251216_073056/config.json
