month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,80,34,46,-51.99999999995839,-0.6499999999994799,0.425
2024-02,49,20,29,-49.99999999997442,-1.0204081632647841,0.40816326530612246
2024-03,54,19,35,-121.99999999997146,-2.2592592592587306,0.35185185185185186
2024-04,76,35,41,10.000000000039222,0.13157894736893713,0.4605263157894737
2024-05,55,21,34,-87.99999999997112,-1.599999999999475,0.38181818181818183
2024-06,64,21,43,-177.999999999966,-2.781249999999469,0.328125
2024-07,36,12,24,-95.9999999999809,-2.6666666666661363,0.3333333333333333
2024-08,58,26,32,-7.999999999969987,-0.13793103448224114,0.4482758620689655
2024-09,53,21,32,-67.99999999997226,-1.2830188679240049,0.39622641509433965
2024-10,88,37,51,-65.99999999995418,-0.7499999999994794,0.42045454545454547
2024-11,37,17,20,4.000000000019099,0.10810810810862431,0.4594594594594595
2024-12,70,28,42,-83.99999999996339,-1.199999999999477,0.4
