month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,95,39,56,-91.99999999995043,-0.9684210526310572,0.4105263157894737
2024-02,83,33,50,-103.99999999995657,-1.2530120481922478,0.39759036144578314
2024-03,77,25,52,-219.99999999995907,-2.8571428571423256,0.3246753246753247
2024-04,77,38,39,66.00000000003945,0.8571428571433695,0.4935064935064935
2024-05,99,47,52,44.00000000005093,0.4444444444449589,0.47474747474747475
2024-06,53,16,37,-177.9999999999717,-3.3584905660372018,0.3018867924528302
2024-07,80,28,52,-183.9999999999577,-2.2999999999994714,0.35
2024-08,98,41,57,-77.99999999994895,-0.7959183673464179,0.41836734693877553
2024-09,101,46,55,2.0000000000521823,0.01980198019853646,0.45544554455445546
2024-10,92,37,55,-105.99999999995191,-1.1521739130429556,0.40217391304347827
2024-11,85,31,54,-167.9999999999552,-1.976470588234767,0.36470588235294116
2024-12,99,48,51,66.00000000005082,0.66666666666718,0.48484848484848486
