month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,W1,53,21,32,-67.99999999997226,-1.2830188679240049,0.39622641509433965
2024-02,W1,31,11,20,-67.99999999998363,-2.193548387096246,0.3548387096774194
2024-03,W1,42,15,27,-89.99999999997783,-2.142857142856615,0.35714285714285715
2024-04,W1,27,13,14,16.00000000001387,0.5925925925931063,0.48148148148148145
2024-05,W1,31,12,19,-45.99999999998374,-1.483870967741411,0.3870967741935484
2024-06,W1,38,12,26,-115.99999999997976,-3.0526315789468357,0.3157894736842105
2024-07,W1,16,5,11,-49.99999999999147,-3.124999999999467,0.3125
2024-08,W1,26,9,17,-61.999999999986244,-2.3846153846148557,0.34615384615384615
2024-09,W1,37,16,21,-17.999999999980787,-0.4864864864859672,0.43243243243243246
2024-10,W1,51,23,28,-3.9999999999736247,-0.07843137254850245,0.45098039215686275
2024-11,W1,27,10,17,-49.99999999998579,-1.8518518518513256,0.37037037037037035
2024-12,W1,51,25,26,40.00000000002615,0.7843137254907088,0.49019607843137253
