month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,W1,20,6,14,-67.99999999998931,-3.3999999999994657,0.3
2025-01,W2,14,6,8,-7.999999999992724,-0.5714285714280517,0.42857142857142855
2025-02,W1,19,4,15,-101.99999999998965,-5.368421052631034,0.21052631578947367
2025-02,W2,17,8,9,6.000000000008754,0.3529411764711032,0.47058823529411764
2025-03,W1,29,11,18,-47.999999999984766,-1.655172413792578,0.3793103448275862
2025-03,W2,18,5,13,-69.99999999999034,-3.888888888888352,0.2777777777777778
2025-04,W1,18,4,14,-91.99999999999022,-5.111111111110568,0.2222222222222222
2025-04,W2,4,1,3,-17.99999999999784,-4.49999999999946,0.25
2025-05,W1,31,11,20,-67.99999999998363,-2.193548387096246,0.3548387096774194
2025-05,W2,6,3,3,6.0000000000030695,1.0000000000005116,0.5
2025-06,W1,30,14,16,8.000000000015461,0.26666666666718203,0.4666666666666667
2025-06,W2,17,7,10,-15.999999999991132,-0.9411764705877137,0.4117647058823529
2025-07,W1,44,25,19,110.00000000002217,2.500000000000504,0.5681818181818182
2025-07,W2,40,16,24,-47.99999999997908,-1.199999999999477,0.4
2025-08,W1,24,11,13,2.000000000012392,0.08333333333384967,0.4583333333333333
2025-08,W2,18,7,11,-25.999999999990564,-1.4444444444439202,0.3888888888888889
2025-09,W1,31,17,14,64.00000000001569,2.0645161290327643,0.5483870967741935
2025-09,W2,17,5,12,-59.999999999990905,-3.5294117647053476,0.29411764705882354
2025-10,W1,41,19,22,8.000000000021146,0.19512195122002796,0.4634146341463415
2025-10,W2,15,6,9,-17.999999999992156,-1.199999999999477,0.4
2025-11,W1,28,14,14,28.000000000014325,1.0000000000005116,0.5
2025-11,W2,30,12,18,-35.99999999998431,-1.199999999999477,0.4
2025-12,W1,15,8,7,26.000000000007617,1.7333333333338412,0.5333333333333333
2025-12,W2,14,8,6,36.00000000000705,2.5714285714290748,0.5714285714285714
