month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,23,10,13,-9.999999999988063,-0.4347826086951332,0.43478260869565216
2025-02,23,8,15,-53.999999999987836,-2.347826086955993,0.34782608695652173
2025-03,36,16,20,-7.999999999981355,-0.22222222222170432,0.4444444444444444
2025-04,23,10,13,-9.999999999988063,-0.4347826086951332,0.43478260869565216
2025-05,29,16,13,62.000000000014666,2.1379310344832643,0.5517241379310345
2025-06,31,13,18,-23.999999999983856,-0.7741935483865761,0.41935483870967744
2025-07,47,16,31,-117.9999999999751,-2.5106382978718105,0.3404255319148936
2025-08,21,8,13,-33.99999999998897,-1.619047619047094,0.38095238095238093
2025-09,25,6,19,-117.99999999998647,-4.719999999999459,0.24
2025-10,37,14,23,-61.99999999998056,-1.6756756756751503,0.3783783783783784
2025-11,34,13,21,-53.99999999998215,-1.588235294117122,0.38235294117647056
2025-12,18,9,9,18.00000000000921,1.0000000000005116,0.5
