month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,36,9,27,-161.99999999998056,-4.49999999999946,0.25
2025-02,39,14,25,-81.99999999997942,-2.102564102563575,0.358974358974359
2025-03,50,17,33,-125.99999999997351,-2.51999999999947,0.34
2025-04,25,7,18,-95.99999999998658,-3.8399999999994634,0.28
2025-05,53,22,31,-45.999999999972374,-0.8679245283013656,0.41509433962264153
2025-06,64,28,36,-23.999999999966803,-0.3749999999994813,0.4375
2025-07,90,41,49,2.000000000046498,0.022222222222738865,0.45555555555555555
2025-08,43,20,23,10.000000000022169,0.23255813953539928,0.46511627906976744
2025-09,50,23,27,6.000000000025807,0.12000000000051614,0.46
2025-10,64,31,33,42.000000000032855,0.6562500000005134,0.484375
2025-11,75,38,37,86.00000000003831,1.1466666666671774,0.5066666666666667
2025-12,21,10,11,10.0000000000108,0.4761904761909905,0.47619047619047616
