month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,7,3,4,-3.999999999996362,-0.5714285714280517,0.42857142857142855
2025-02,11,4,7,-21.999999999994202,-1.9999999999994729,0.36363636363636365
2025-03,8,4,4,8.000000000004093,1.0000000000005116,0.5
2025-04,12,3,9,-53.99999999999352,-4.49999999999946,0.25
2025-05,12,8,4,56.00000000000591,4.666666666667159,0.6666666666666666
2025-06,12,9,3,78.0000000000058,6.500000000000483,0.75
2025-07,22,11,11,22.000000000011255,1.0000000000005116,0.5
2025-08,10,6,4,32.000000000005,3.2000000000005002,0.6
2025-09,17,8,9,6.000000000008754,0.3529411764711032,0.47058823529411764
2025-10,18,10,8,40.000000000009095,2.2222222222227277,0.5555555555555556
2025-11,12,4,8,-31.999999999993634,-2.6666666666661363,0.3333333333333333
2025-12,5,5,0,60.000000000002274,12.000000000000455,1.0
