month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,60,29,31,38.00000000003081,0.6333333333338468,0.48333333333333334
2024-02,48,15,33,-149.99999999997442,-3.124999999999467,0.3125
2024-03,34,10,24,-119.99999999998181,-3.5294117647053476,0.29411764705882354
2024-04,39,17,22,-15.999999999979764,-0.4102564102558914,0.4358974358974359
2024-05,34,15,19,-9.999999999982379,-0.29411764705830523,0.4411764705882353
2024-06,41,11,30,-167.99999999997794,-4.097560975609218,0.2682926829268293
2024-07,51,17,34,-135.99999999997294,-2.6666666666661363,0.3333333333333333
2024-08,60,24,36,-71.99999999996862,-1.199999999999477,0.4
2024-09,51,19,32,-91.99999999997317,-1.803921568626925,0.37254901960784315
2024-10,56,22,34,-75.99999999997067,-1.3571428571423334,0.39285714285714285
2024-11,49,16,33,-137.99999999997397,-2.816326530611714,0.32653061224489793
2024-12,50,24,26,28.000000000025693,0.5600000000005139,0.48
