month,bars_total,h1_uptrend_true_bars,h1_uptrend_ratio
2025-01,182551,65416,0.3583436957343427
2025-02,166642,44953,0.26975792417277755
2025-03,174927,85772,0.4903302520479972
2025-04,183962,52750,0.2867440014785662
2025-05,180640,72483,0.4012566430469442
2025-06,173287,89768,0.5180307813050027
2025-07,184515,119340,0.6467766848223722
2025-08,167188,55603,0.33257769696389694
2025-09,175111,81413,0.46492224931614806
2025-10,183595,104323,0.5682235354993328
2025-11,159626,90726,0.5683660556550938
2025-12,63107,27491,0.4356252079800973
