month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,W1,53,21,32,-67.99999999997226,-1.2830188679240049,0.39622641509433965
2024-01,W2,15,5,10,-39.99999999999204,-2.6666666666661363,0.3333333333333333
2024-02,W1,31,11,20,-67.99999999998363,-2.193548387096246,0.3548387096774194
2024-02,W2,21,9,12,-11.999999999989086,-0.5714285714280517,0.42857142857142855
2024-03,W1,42,15,27,-89.99999999997783,-2.142857142856615,0.35714285714285715
2024-03,W2,13,6,7,2.0000000000067075,0.1538461538466698,0.46153846153846156
2024-04,W1,27,13,14,16.00000000001387,0.5925925925931063,0.48148148148148145
2024-04,W2,40,19,21,18.000000000020577,0.45000000000051443,0.475
2024-05,W1,31,12,19,-45.99999999998374,-1.483870967741411,0.3870967741935484
2024-05,W2,26,14,12,48.00000000001319,1.8461538461543534,0.5384615384615384
2024-06,W1,38,12,26,-115.99999999997976,-3.0526315789468357,0.3157894736842105
2024-06,W2,12,4,8,-31.999999999993634,-2.6666666666661363,0.3333333333333333
2024-07,W1,16,5,11,-49.99999999999147,-3.124999999999467,0.3125
2024-07,W2,19,6,13,-57.99999999998988,-3.0526315789468357,0.3157894736842105
2024-08,W1,26,9,17,-61.999999999986244,-2.3846153846148557,0.34615384615384615
2024-08,W2,17,4,13,-81.99999999999079,-4.823529411764164,0.23529411764705882
2024-09,W1,37,16,21,-17.999999999980787,-0.4864864864859672,0.43243243243243246
2024-09,W2,18,8,10,-3.9999999999906777,-0.22222222222170432,0.4444444444444444
2024-10,W1,51,23,28,-3.9999999999736247,-0.07843137254850245,0.45098039215686275
2024-10,W2,29,11,18,-47.999999999984766,-1.655172413792578,0.3793103448275862
2024-11,W1,27,10,17,-49.99999999998579,-1.8518518518513256,0.37037037037037035
2024-11,W2,4,1,3,-17.99999999999784,-4.49999999999946,0.25
2024-12,W1,51,25,26,40.00000000002615,0.7843137254907088,0.49019607843137253
2024-12,W2,26,9,17,-61.999999999986244,-2.3846153846148557,0.34615384615384615
