month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,W1,26,10,16,-39.99999999998636,-1.5384615384610139,0.38461538461538464
2025-01,W2,37,18,19,26.000000000018986,0.7027027027032158,0.4864864864864865
2025-02,W1,33,8,25,-153.99999999998215,-4.666666666666126,0.24242424242424243
2025-02,W2,48,20,28,-39.99999999997499,-0.8333333333328122,0.4166666666666667
2025-03,W1,46,17,29,-85.99999999997578,-1.869565217390778,0.3695652173913043
2025-03,W2,50,19,31,-81.99999999997374,-1.6399999999994748,0.38
2025-04,W1,40,12,28,-135.99999999997863,-3.3999999999994657,0.3
2025-04,W2,48,25,23,70.00000000002444,1.4583333333338426,0.5208333333333334
2025-05,W1,56,22,34,-75.99999999997067,-1.3571428571423334,0.39285714285714285
2025-05,W2,61,28,33,6.000000000031491,0.09836065573822117,0.45901639344262296
2025-06,W1,48,21,27,-17.999999999975103,-0.3749999999994813,0.4375
2025-06,W2,55,21,34,-87.99999999997112,-1.599999999999475,0.38181818181818183
2025-07,W1,56,28,28,56.00000000002865,1.0000000000005116,0.5
2025-07,W2,74,31,43,-57.99999999996146,-0.783783783783263,0.4189189189189189
2025-08,W1,31,12,19,-45.99999999998374,-1.483870967741411,0.3870967741935484
2025-08,W2,29,10,19,-69.99999999998465,-2.4137931034477464,0.3448275862068966
2025-09,W1,39,17,22,-15.999999999979764,-0.4102564102558914,0.4358974358974359
2025-09,W2,37,13,24,-83.99999999998045,-2.2702702702697417,0.35135135135135137
2025-10,W1,56,24,32,-31.999999999970896,-0.5714285714280517,0.42857142857142855
2025-10,W2,48,20,28,-39.99999999997499,-0.8333333333328122,0.4166666666666667
2025-11,W1,33,17,16,44.000000000016826,1.3333333333338433,0.5151515151515151
2025-11,W2,44,17,27,-65.99999999997692,-1.4999999999994755,0.38636363636363635
2025-12,W1,15,8,7,26.000000000007617,1.7333333333338412,0.5333333333333333
2025-12,W2,20,8,12,-23.99999999998954,-1.199999999999477,0.4
