month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,88,34,54,-131.99999999995384,-1.4999999999994755,0.38636363636363635
2024-02,85,33,52,-123.99999999995543,-1.4588235294112404,0.38823529411764707
2024-03,78,30,48,-119.99999999995907,-1.5384615384610139,0.38461538461538464
2024-04,86,37,49,-45.99999999995532,-0.534883720929713,0.43023255813953487
2024-05,80,34,46,-51.99999999995839,-0.6499999999994799,0.425
2024-06,103,46,57,-17.99999999994668,-0.1747572815528804,0.44660194174757284
2024-07,52,17,35,-145.99999999997237,-2.8076923076917764,0.3269230769230769
2024-08,51,17,34,-135.99999999997294,-2.6666666666661363,0.3333333333333333
2024-09,76,33,43,-33.99999999996055,-0.4473684210521125,0.4342105263157895
2024-10,132,57,75,-65.99999999993145,-0.49999999999948064,0.4318181818181818
2024-11,70,34,36,48.000000000035925,0.685714285714799,0.4857142857142857
2024-12,69,22,47,-205.99999999996328,-2.9855072463762795,0.3188405797101449
