month,session,C101_trades,C101_sum_pnl_pips,C102_trades,C102_sum_pnl_pips,delta_sum_pnl_pips,delta_trades
2025-01,W1,18,-47.99999999999045,85,8.000000000043883,56.00000000003433,67.0
2025-02,W1,19,-79.99999999998977,67,-31.999999999965212,48.000000000024556,48.0
2025-03,W1,28,-103.999999999985,75,-1.9999999999612328,102.00000000002376,47.0
2025-04,W1,20,-89.9999999999892,75,-177.99999999996032,-87.99999999997112,55.0
2025-05,W1,34,-53.99999999998215,83,-59.9999999999568,-5.999999999974648,49.0
2025-06,W1,36,-7.999999999981355,69,36.00000000003547,44.000000000016826,33.0
2025-07,W1,48,4.000000000024784,68,-85.99999999996442,-89.9999999999892,20.0
2025-08,W1,27,-5.9999999999860165,67,56.00000000003433,62.00000000002035,40.0
2025-09,W1,34,-9.99999999998238,58,-29.999999999969873,-19.999999999987494,24.0
2025-10,W1,48,4.000000000024784,80,14.000000000041268,10.000000000016485,32.0
2025-11,W1,31,42.0000000000158,58,-7.999999999969987,-49.99999999998579,27.0
2025-12,W1,15,26.000000000007617,28,28.000000000014325,2.0000000000067075,13.0
