side,entry_time,exit_time,entry_price,exit_price,pnl_pips,exit_reason,session,month
buy,2024-01-02 05:39:10+00:00,2024-01-02 05:50:20+00:00,141.47199999999998,141.37199999999999,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-02 06:15:20+00:00,2024-01-02 06:57:00+00:00,141.417,141.537,12.000000000000455,tp,OUT,2024-01
buy,2024-01-02 07:04:10+00:00,2024-01-02 07:08:10+00:00,141.602,141.502,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-02 07:22:20+00:00,2024-01-02 07:24:40+00:00,141.539,141.439,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-03 01:06:10+00:00,2024-01-03 01:24:10+00:00,141.99699999999999,142.117,12.000000000000455,tp,OUT,2024-01
buy,2024-01-03 01:24:20+00:00,2024-01-03 01:28:50+00:00,142.124,142.024,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-03 01:50:40+00:00,2024-01-03 04:00:50+00:00,141.97199999999998,141.87199999999999,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-04 00:19:20+00:00,2024-01-04 00:30:20+00:00,142.932,143.052,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 00:30:30+00:00,2024-01-04 00:38:10+00:00,143.04899999999998,143.16899999999998,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 00:40:00+00:00,2024-01-04 00:54:00+00:00,143.194,143.314,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 01:15:10+00:00,2024-01-04 01:29:10+00:00,143.248,143.368,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 01:33:50+00:00,2024-01-04 03:23:10+00:00,143.429,143.329,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-04 03:41:20+00:00,2024-01-04 04:21:20+00:00,143.331,143.451,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 04:21:30+00:00,2024-01-04 04:42:50+00:00,143.463,143.363,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-04 04:48:50+00:00,2024-01-04 04:54:20+00:00,143.432,143.552,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 04:54:30+00:00,2024-01-04 05:34:00+00:00,143.56199999999998,143.682,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 05:34:10+00:00,2024-01-04 05:35:00+00:00,143.69199999999998,143.81199999999998,12.000000000000455,tp,OUT,2024-01
buy,2024-01-04 05:35:10+00:00,2024-01-04 05:44:40+00:00,143.875,143.775,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-04 06:11:20+00:00,2024-01-04 06:25:10+00:00,143.76999999999998,143.67,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-05 00:01:10+00:00,2024-01-05 00:04:20+00:00,144.844,144.744,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-05 00:31:20+00:00,2024-01-05 00:54:10+00:00,144.754,144.874,12.000000000000455,tp,OUT,2024-01
buy,2024-01-05 00:54:20+00:00,2024-01-05 01:00:30+00:00,144.891,144.791,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-05 01:22:10+00:00,2024-01-05 01:39:10+00:00,144.778,144.678,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-07 22:16:10+00:00,2024-01-07 23:03:20+00:00,144.54,144.66,12.000000000000455,tp,OUT,2024-01
buy,2024-01-07 23:05:20+00:00,2024-01-07 23:14:30+00:00,144.67499999999998,144.795,12.000000000000455,tp,OUT,2024-01
buy,2024-01-07 23:14:40+00:00,2024-01-07 23:59:30+00:00,144.82299999999998,144.72299999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-08 00:24:30+00:00,2024-01-08 00:55:30+00:00,144.731,144.631,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-08 02:01:10+00:00,2024-01-08 02:33:10+00:00,144.43099999999998,144.551,12.000000000000455,tp,OUT,2024-01
buy,2024-01-08 02:33:20+00:00,2024-01-08 02:51:00+00:00,144.56199999999998,144.462,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-08 02:55:20+00:00,2024-01-08 03:09:20+00:00,144.535,144.435,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-09 18:11:00+00:00,2024-01-09 18:34:00+00:00,144.434,144.554,12.000000000000455,tp,OUT,2024-01
buy,2024-01-09 18:34:10+00:00,2024-01-09 19:10:10+00:00,144.569,144.469,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-09 19:33:00+00:00,2024-01-09 20:03:50+00:00,144.53099999999998,144.43099999999998,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-10 00:27:10+00:00,2024-01-10 00:44:10+00:00,144.563,144.683,12.000000000000455,tp,OUT,2024-01
buy,2024-01-10 00:44:20+00:00,2024-01-10 00:52:20+00:00,144.695,144.595,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-10 01:03:10+00:00,2024-01-10 01:09:50+00:00,144.583,144.703,12.000000000000455,tp,OUT,2024-01
buy,2024-01-10 01:10:00+00:00,2024-01-10 02:30:20+00:00,144.714,144.834,12.000000000000455,tp,OUT,2024-01
buy,2024-01-10 02:30:30+00:00,2024-01-10 03:30:30+00:00,144.876,144.776,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-10 03:46:40+00:00,2024-01-10 05:27:50+00:00,144.846,144.746,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-11 00:30:10+00:00,2024-01-11 00:48:10+00:00,145.60899999999998,145.509,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-11 00:51:10+00:00,2024-01-11 00:54:30+00:00,145.595,145.495,-9.999999999999432,sl,OUT,2024-01
buy,2024-01-15 06:57:30+00:00,2024-01-15 07:07:10+00:00,145.272,145.392,12.000000000000455,tp,OUT,2024-01
buy,2024-01-15 07:07:20+00:00,2024-01-15 07:34:30+00:00,145.403,145.523,12.000000000000455,tp,OUT,2024-01
buy,2024-01-15 07:34:40+00:00,2024-01-15 07:44:00+00:00,145.524,145.424,-9.999999999999432,sl,OUT,2024-01
