month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,75,33,42,-23.99999999996112,-0.3199999999994816,0.44
2024-02,43,14,29,-121.99999999997715,-2.83720930232505,0.32558139534883723
2024-03,55,25,30,2.8421709430404007e-11,5.167583532800729e-13,0.45454545454545453
2024-04,59,27,32,4.000000000030468,0.06779661017000793,0.4576271186440678
2024-05,53,21,32,-67.99999999997226,-1.2830188679240049,0.39622641509433965
2024-06,53,20,33,-89.99999999997215,-1.6981132075466443,0.37735849056603776
2024-07,32,10,22,-99.99999999998295,-3.124999999999467,0.3125
2024-08,45,17,28,-75.99999999997635,-1.6888888888883633,0.37777777777777777
2024-09,46,19,27,-41.99999999997601,-0.913043478260348,0.41304347826086957
2024-10,75,28,47,-133.99999999996055,-1.7866666666661406,0.37333333333333335
2024-11,35,14,21,-41.999999999981696,-1.199999999999477,0.4
2024-12,69,34,35,58.00000000003536,0.84057971014544,0.4927536231884058
