month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,34,12,22,-75.99999999998204,-2.2352941176465304,0.35294117647058826
2025-02,36,12,24,-95.9999999999809,-2.6666666666661363,0.3333333333333333
2025-03,47,16,31,-117.9999999999751,-2.5106382978718105,0.3404255319148936
2025-04,22,5,17,-109.99999999998806,-4.999999999999457,0.22727272727272727
2025-05,37,14,23,-61.99999999998056,-1.6756756756751503,0.3783783783783784
2025-06,47,21,26,-7.999999999975671,-0.17021276595692916,0.44680851063829785
2025-07,84,41,43,62.00000000004309,0.7380952380957511,0.4880952380952381
2025-08,42,18,24,-23.999999999978172,-0.5714285714280517,0.42857142857142855
2025-09,48,22,26,4.000000000024784,0.08333333333384967,0.4583333333333333
2025-10,56,25,31,-9.99999999997101,-0.17857142857091088,0.44642857142857145
2025-11,58,26,32,-7.999999999969987,-0.13793103448224114,0.4482758620689655
2025-12,29,16,13,62.000000000014666,2.1379310344832643,0.5517241379310345
