month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,W1,20,5,15,-89.9999999999892,-4.49999999999946,0.25
2025-01,W2,16,4,12,-71.99999999999136,-4.49999999999946,0.25
2025-02,W1,26,7,19,-105.99999999998602,-4.076923076922539,0.2692307692307692
2025-02,W2,13,7,6,24.000000000006594,1.8461538461543534,0.5384615384615384
2025-03,W1,32,11,21,-77.99999999998306,-2.4374999999994706,0.34375
2025-03,W2,18,6,12,-47.99999999999045,-2.6666666666661363,0.3333333333333333
2025-04,W1,22,7,15,-65.99999999998829,-2.9999999999994675,0.3181818181818182
2025-04,W2,3,0,3,-29.999999999998295,-9.999999999999432,0.0
2025-05,W1,47,19,28,-51.999999999975444,-1.1063829787228818,0.40425531914893614
2025-05,W2,6,3,3,6.0000000000030695,1.0000000000005116,0.5
2025-06,W1,39,19,20,28.00000000002001,0.717948717949231,0.48717948717948717
2025-06,W2,25,9,16,-51.99999999998681,-2.0799999999994725,0.36
2025-07,W1,60,29,31,38.00000000003081,0.6333333333338468,0.48333333333333334
2025-07,W2,30,12,18,-35.99999999998431,-1.199999999999477,0.4
2025-08,W1,23,12,11,34.00000000001171,1.4782608695657264,0.5217391304347826
2025-08,W2,20,8,12,-23.99999999998954,-1.199999999999477,0.4
2025-09,W1,36,15,21,-29.99999999998124,-0.8333333333328122,0.4166666666666667
2025-09,W2,14,8,6,36.00000000000705,2.5714285714290748,0.5714285714285714
2025-10,W1,49,24,25,38.000000000025125,0.7755102040821454,0.4897959183673469
2025-10,W2,15,7,8,4.000000000007731,0.26666666666718203,0.4666666666666667
2025-11,W1,38,20,18,60.00000000001933,1.5789473684215611,0.5263157894736842
2025-11,W2,37,18,19,26.000000000018986,0.7027027027032158,0.4864864864864865
2025-12,W1,14,8,6,36.00000000000705,2.5714285714290748,0.5714285714285714
2025-12,W2,7,2,5,-25.99999999999625,-3.7142857142851784,0.2857142857142857
