month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,OUT,1,0,1,-9.999999999999432,-9.999999999999432,0.0
2024-01,W1,27,11,16,-27.999999999985903,-1.037037037036515,0.4074074074074074
2024-01,W2,32,18,14,76.00000000001614,2.3750000000005045,0.5625
2024-02,W1,29,11,18,-47.999999999984766,-1.655172413792578,0.3793103448275862
2024-02,W2,19,4,15,-101.99999999998965,-5.368421052631034,0.21052631578947367
2024-03,W1,16,2,14,-115.99999999999113,-7.249999999999446,0.125
2024-03,W2,18,8,10,-3.9999999999906777,-0.22222222222170432,0.4444444444444444
2024-04,W1,15,5,10,-39.99999999999204,-2.6666666666661363,0.3333333333333333
2024-04,W2,24,12,12,24.000000000012278,1.0000000000005116,0.5
2024-05,W1,15,4,11,-61.99999999999193,-4.1333333333327955,0.26666666666666666
2024-05,W2,19,11,8,52.00000000000955,2.7368421052636607,0.5789473684210527
2024-06,W1,22,3,19,-153.99999999998784,-6.999999999999447,0.13636363636363635
2024-06,W2,19,8,11,-13.99999999999011,-0.7368421052626374,0.42105263157894735
2024-07,W1,26,9,17,-61.999999999986244,-2.3846153846148557,0.34615384615384615
2024-07,W2,25,8,17,-73.9999999999867,-2.959999999999468,0.32
2024-08,W1,32,14,18,-11.999999999983402,-0.3749999999994813,0.4375
2024-08,W2,28,10,18,-59.99999999998522,-2.142857142856615,0.35714285714285715
2024-09,W1,36,16,20,-7.999999999981355,-0.22222222222170432,0.4444444444444444
2024-09,W2,15,3,12,-83.99999999999181,-5.599999999999454,0.2
2024-10,W1,31,11,20,-67.99999999998363,-2.193548387096246,0.3548387096774194
2024-10,W2,25,11,14,-7.99999999998704,-0.3199999999994816,0.44
2024-11,W1,30,8,22,-123.99999999998386,-4.1333333333327955,0.26666666666666666
2024-11,W2,19,8,11,-13.99999999999011,-0.7368421052626374,0.42105263157894735
2024-12,W1,26,13,13,26.0000000000133,1.0000000000005116,0.5
2024-12,W2,24,11,13,2.000000000012392,0.08333333333384967,0.4583333333333333
