month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,W1,18,6,12,-47.99999999999045,-2.6666666666661363,0.3333333333333333
2025-01,W2,18,10,8,40.000000000009095,2.2222222222227277,0.5555555555555556
2025-02,W1,19,5,14,-79.99999999998977,-4.210526315788935,0.2631578947368421
2025-02,W2,15,6,9,-17.999999999992156,-1.199999999999477,0.4
2025-03,W1,28,8,20,-103.999999999985,-3.7142857142851784,0.2857142857142857
2025-03,W2,12,4,8,-31.999999999993634,-2.6666666666661363,0.3333333333333333
2025-04,W1,20,5,15,-89.9999999999892,-4.49999999999946,0.25
2025-04,W2,8,4,4,8.000000000004093,1.0000000000005116,0.5
2025-05,W1,34,13,21,-53.99999999998215,-1.588235294117122,0.38235294117647056
2025-05,W2,8,3,5,-13.999999999995794,-1.7499999999994742,0.375
2025-06,W1,36,16,20,-7.999999999981355,-0.22222222222170432,0.4444444444444444
2025-06,W2,15,4,11,-61.99999999999193,-4.1333333333327955,0.26666666666666666
2025-07,W1,48,22,26,4.000000000024784,0.08333333333384967,0.4583333333333333
2025-07,W2,23,10,13,-9.999999999988063,-0.4347826086951332,0.43478260869565216
2025-08,W1,27,12,15,-5.9999999999860165,-0.22222222222170432,0.4444444444444444
2025-08,W2,20,8,12,-23.99999999998954,-1.199999999999477,0.4
2025-09,W1,34,15,19,-9.999999999982379,-0.29411764705830523,0.4411764705882353
2025-09,W2,15,6,9,-17.999999999992156,-1.199999999999477,0.4
2025-10,W1,48,22,26,4.000000000024784,0.08333333333384967,0.4583333333333333
2025-10,W2,18,10,8,40.000000000009095,2.2222222222227277,0.5555555555555556
2025-11,W1,31,16,15,42.0000000000158,1.354838709677929,0.5161290322580645
2025-11,W2,29,11,18,-47.999999999984766,-1.655172413792578,0.3793103448275862
2025-12,W1,15,8,7,26.000000000007617,1.7333333333338412,0.5333333333333333
2025-12,W2,11,5,6,5.6843418860808015e-12,5.167583532800729e-13,0.45454545454545453
