month,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2025-01,121,59,62,88.00000000006207,0.7272727272732403,0.48760330578512395
2025-02,74,26,48,-167.9999999999609,-2.2702702702697417,0.35135135135135137
2025-03,86,33,53,-133.99999999995487,-1.5581395348831961,0.38372093023255816
2025-04,75,25,50,-199.9999999999602,-2.6666666666661363,0.3333333333333333
2025-05,94,39,55,-81.999999999951,-0.8723404255313937,0.4148936170212766
2025-06,89,37,52,-75.99999999995362,-0.8539325842691418,0.4157303370786517
2025-07,98,43,55,-33.99999999994918,-0.34693877550968555,0.4387755102040816
2025-08,94,42,52,-15.999999999951342,-0.17021276595692916,0.44680851063829785
2025-09,83,36,47,-37.99999999995691,-0.4578313253006857,0.43373493975903615
2025-10,90,39,51,-41.999999999953275,-0.4666666666661475,0.43333333333333335
2025-11,85,37,48,-35.99999999995589,-0.42352941176418696,0.43529411764705883
2025-12,44,23,21,66.0000000000224,1.500000000000509,0.5227272727272727
