family,hyp,delta,verify_sum_pnl_pips,verify_trades,forward_sum_pnl_pips,forward_trades,judge
family_B_failedbreakout,B001,baseline,-399.99999999984084,304,-1.9999999998589146,273,conditional
family_B_failedbreakout,B002,only_session=W1,-397.9999999999194,152,190.00000000007446,146,conditional
family_B_failedbreakout,B003,use_h1_trend_filter=False,-911.9999999996992,573,-165.9999999996984,582,dead
family_B_failedbreakout,B004,max_losing_streak=999,-535.9999999998195,344,-81.999999999843,303,dead
family_B_failedbreakout,B005,use_time_filter=False,-797.9999999996238,720,-711.9999999996935,586,dead
family_C_m1entry,C001,baseline,-803.9999999996496,670,-461.9999999997134,550,dead
family_C_m1entry,C002,only_session=W1,-515.9999999997751,430,-323.9999999998133,358,conditional
family_C_m1entry,C003,use_h1_trend_filter=False,-951.9999999994582,1039,-641.999999999436,1085,dead
family_C_m1entry,C004,max_losing_streak=999,-1269.999999999331,1282,-927.999999999463,1030,dead
family_C_m1entry,C005,use_time_filter=False,-1031.9999999994934,970,-1341.9999999995896,781,dead
